Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Le Balamina,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.599358,9.268614,21 rue des Turriccioli,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-23,#+33 4 20 13 03 77#contact@balamina.com#https://balamina.com/,,"La résidence hôtelière, le Balamina, ouverte à l'année, dipose de 53 chambres spacieuses et parfaitement équipées pour vous garantir un confort optimal tout au long de votre séjour.",https://data.datatourisme.fr/13/df5d29ec-55cd-37f3-a81f-f0db6c10c0f1
Jet Pearl Events,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.638077,9.347491,Parking de la plage Centre de Saint Cyprien,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-03-31,#+33 6 29 77 19 71#jetpearlevents@gmail.com#,,"Nous vous proposons au centre de Saint Cyprien des sorties sportives en jet-ski, des locations libres de quads et des randonnées en trottinettes électriques tout terrain entre terre et mer.",https://data.datatourisme.fr/13/66eb134c-fb35-3bd6-8e69-598d20ba0fdd
U casteddu d’Araghju,https://www.datatourisme.fr/ontology/core#ArcheologicalSite|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,41.656311,9.279691,Araghju,20170#San-Gavino-di-Carbini,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-05-20,#+33 4 95 70 09 58##,,"Forteresse cyclopéenne, aux remparts démesurés, plus de 2 mètres de largeur pour certains, le casteddu d’Araghju domine depuis plus de 4000 ans, la vaste plaine qui s’étend sous ses pieds offrant une vue imprenable le golfe de Porto-Vecchio.",https://data.datatourisme.fr/13/019b2930-944c-3019-8e9a-9fa4aaf10797
"Ceccia, site archéologique de l’âge du Bronze",https://www.datatourisme.fr/ontology/core#ArcheologicalSite|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,41.560031,9.242944,Village de Ceccia,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-10-06,#+33 4 95 70 09 58##,,"À 5 min de Porto-Vecchio, un petit sentier au centre du village vous mènera à un monument circulaire d’environ 12 m de diamètre datant de 1350 av JC. Le panorama y est exceptionnel.",https://data.datatourisme.fr/13/327821ee-aa9c-37c6-b191-8605772d31b3
U Casteddu di Tappa,https://www.datatourisme.fr/ontology/core#ArcheologicalSite|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,41.552136,9.230978,Après le village de Ceccia Route de Sotta,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-10-06,#+33 4 95 70 09 58##,,"À 10 min de Porto-Vecchio, découvrez ce complexe archéologique datant du IVe millénaire avant notre ère (âge du bronze) offrant un point de vue superbe.
Constitué d’une enceinte cyclopéenne entourant un village et renfermant une « torre » monumentale.",https://data.datatourisme.fr/13/70250137-d096-3fb9-879e-cc0cc78a4f9a
La plage de Santa Giulia,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Beach|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,41.532755,9.271844,Santa Giulia,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-09-30,#+33 4 95 70 09 58##,,"Au sud de Porto-Vecchio : voici une des plages les plus célèbres de la Corse du Sud.
Un lagon baignant au pied d’une montagne sur des kilomètres de sable blanc et fin... 
Ces eaux peu profondes en font un véritable jardin de la mer pour les enfants.",https://data.datatourisme.fr/13/2e597d03-e140-3847-ab52-aad5eed57e1d
La plage de Cala Rossa,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Beach|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,41.620128,9.331364,Cala Rossa,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-09-30,#+33 4 95 71 05 75##,,"Un joyau de plus pour la commune de Lecci, Cala Rossa constitue un haut lieu pour le tourisme de grand standing. Un dégradé de vert et de bleu avec en toile de fond les Aiguilles de Bavella…",https://data.datatourisme.fr/13/4441e409-74b0-3ed3-8fc1-0c065d96e36a
La plage de San Giovanni,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Beach|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,41.460968,9.046606,Saint Jean,20131#Pianottoli-Caldarello,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-04-01,#+33 4 95 71 80 06##,,"Entre la tour de Caldarello et la pointe de Capineru, se trouve la plage de San Giovanni (du nom des marais que l’on trouve à proximité). 
En continuant à pied le long de la plage, vous arriverez à la Tour génoise de Caldarellu.",https://data.datatourisme.fr/13/5730d0f7-ddf5-3d62-a564-3a336f9feaa3
La plage de Saint Cyprien,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Beach|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,41.632348,9.345355,Saint Cyprien,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-09-30,#+33 4 95 71 05 75##,,"Ce petit golfe renferme une magnifique plage bordée par l’étang d’Arasu.
Une tour génoise domine ce site et de nombreux vestiges ont été découvert à proximité de l’embouchure de l’Osu.",https://data.datatourisme.fr/13/67672c80-bfd2-39b2-bf43-575dd094a6b6
Sentier du littoral de Tamaricciu,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Tour|https://www.datatourisme.fr/ontology/core#WalkingTour|https://www.datatourisme.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,41.552777,9.312651,Tamaricciu,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-04-20,#+33 4 95 70 09 58#accueil@destination-sudcorse.com#,,"Situé au nord de la réserve naturelle des Bouches de Bonifacio, Tamaricciu est, par la beauté et la diversité de ses milieux naturels, un site emblématique.",https://data.datatourisme.fr/13/6e5a3f80-2f7d-353c-91b6-55fab8c7b12c
La plage du Benedettu,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Beach|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,41.616494,9.318192,Benedettu,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-09-30,#+33 4 95 71 05 75##,,"Encrée dans le golfe de Porto-Vecchio, une baie bénie par les dieux, autrement dit, un havre de paix…
La petite plage du Benedettu est blottie au fond de sa presqu’île du même nom, protégée par un oppidum romain.",https://data.datatourisme.fr/13/cc8155f4-b0a0-3e96-a70b-6c5333b41f93
Santa Vittoria - Hôtel de la Plage,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.607708,8.864472,Hôtel de la Plage,20220#Algajola,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-05-03,#+33 4 95 35 17 03<>+33 6 19 92 48 45#martelli-jhp@orange.fr#http://www.hotelplage-vittoria-corse.com/,,"L'Hôtel de la Plage ""Santa Vittoria"" vous invite à séjourner en Balagne et en Corse dans un véritable havre de paix. Entre mer et montagne, Algajola bénéficie d'une situation exceptionnelle.",https://data.datatourisme.fr/13/9447da93-961e-3e8c-a8b9-25db03c6c7c4
Coutellerie Pol Demongeot,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#CraftsmanShop|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.565994,8.752626,Fort Mozello,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2018-06-04,#+33 4 95 65 32 54<>+33 6 12 10 14 66##http://routedesartisans.fr/artisan-dart/pol-demongeot,,"Fabrication de couteaux traditionnels : Cornicciolu, Cursina, Temperinu… Création.
Découverte et vente au magasin « le Clémenceau », rue Clémenceau à Calvi.",https://data.datatourisme.fr/13/b78a43cd-be00-31fb-966f-bdfc4349bbec
Balagne Aventures Corsica,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,42.604,8.8271,Port de Sant Ambroggio,20260#Lumio,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-20,#+33 6 29 49 69 84#infos@balagne-aventures-corsica.com#https://www.balagne-aventures-corsica.com/,,"Balagne Aventures Corsica vous propose de vivre des aventures en mer inoubliables dans un cadre d'exception, du Cap Corse aux calanques de Piana.",https://data.datatourisme.fr/13/bbd45001-cc4c-30e2-aa0a-c5d31fe63bf5
Camping de la Plage,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.608492,8.873847,RT30,20220#Algajola,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-01-20,#+33 4 95 60 71 76<>+33 6 16 28 69 15#campingalgajola@wanadoo.fr#http://www.camping-de-la-plage-en-balagne.com/,,"Le Camping de la Plage, situé à Algajola, en Balagne, entre Ile-Rousse et Calvi, longe l’une des plus belles plages de Corse, mariant son sable blond à l’ombrage de la forêt de pins parasols et d’eucalyptus.
Rencontre avec... Karine et toute son équipe",https://data.datatourisme.fr/13/c0dc53b4-6410-32a0-979c-ba6359f431bf
Le Mariana,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.564839,8.753216,Avenue Santa Maria,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-24,#+33 4 95 65 31 38#info@hotel-mariana.com#http://www.hotel-mariana.com/,,"Situé en Corse, sur les hauteurs de Calvi, le Mariana bénéficie d'une vue panoramique sur le golfe et les montagnes depuis la piscine. A 10 minutes de la plage et 5 minutes du centre ville, restaurants et boutiques à proximité. Bon séjour en Balagne !",https://data.datatourisme.fr/13/c15b2175-e388-3e38-ad05-46a1d42b58c0
Acquale,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.565,8.7536,Avenue Santa Maria,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-26,#+33 4 95 65 24 23#info@hotelacquale.com#https://www.hotelacquale.com/,,Venez passer un séjour de rêve et d'exception en Balagne en Corse. Cet hôtel du centre ville vous offre tout le confort moderne et une proximité de la mer et de la plage pour des vacances réussies à Calvi !,https://data.datatourisme.fr/13/dfbb7900-cfa9-35a1-80ef-1b2399983cef
Le Belvédère,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.567935,8.758204,Place Christophe Colomb,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-02-25,#+33 4 95 65 01 25<>+33 4 95 65 26 95#info@calvi-location.fr#http://www.belvedere-calvi-hotel.com/,,"Idéalement placé en face de la Citadelle de Calvi et du parking public, à proximité des boutiques, Le Belvédère est à seulement 100 mètres de la mer et du port de plaisance.  La plage de sable est à 5 minutes à pied. Bienvenue en Corse !",https://data.datatourisme.fr/13/c2ced5d9-f072-3b67-a50d-d9bda2989f1f
A Funderia,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#CraftsmanShop|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.55515,8.761626,Parking du supermarché Casino,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-05-31,#+33 6 79 07 31 62#gillu2b@gmail.com#,,"Artisanat corse... Couteaux corses traditionnels, stylets et créations. Fonderie de bronze d’inspiration antique : armes, bijoux et créations. Collection d’outils anciens.",https://data.datatourisme.fr/13/c3db99a1-8c09-3d61-bf7d-4d7d461d1f95
La Pinède,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.554359,8.769469,Route de la Pinède,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-05-06,#+33 4 95 65 17 80#info@camping-calvi.com#https://www.camping-calvi.com/,,"Réservez dès à présent votre camping en Corse, à Calvi...
A deux minutes à pied de l’une des plus belles plages de Corse, à moins d’un quart d’heure du centre-ville de Calvi, venez poser vos valises au cœur d’un parc forestier calme et ombragé.",https://data.datatourisme.fr/13/d1ca2d2b-2ba8-399c-b5b7-d92ebf6406c3
Bianconi Scuperta - Exclusive 4x4,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.588984,8.906041,Point Accueil,20220#Sant'Antonino,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-08-11,#+33 6 30 78 94 93##,,“ Une immersion dans la société corse “ avec Bianconi Scuperta visites guidées et Exclusive 4x4.,https://data.datatourisme.fr/13/d687003e-773a-33d6-8249-204bfed4346f
Il Tramonto,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.568,8.750911,Route de Porto,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-01-22,#+33 4 95 65 04 17<>+33 4 95 65 26 95#il.tramonto.calvi@gmail.com#http://www.hoteliltramonto.com/,,"Il Tramonto en Balagne est un petit hôtel familial et chaleureux.
Idéalement situé, à 800 m. du centre-ville de Calvi, offrant une vue panoramique remarquable sur la mer et la Revellata... Son coucher de soleil fait partie des plus beaux de Corse.",https://data.datatourisme.fr/13/da8ab52d-b622-33ab-a448-6dc37e2ca744
Sole Mare,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.569502,8.755989,Pointe St François,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-25,#+33 4 95 65 09 50<>+33 4 95 65 26 95#info@calvi-location.fr#http://www.calvi-location.fr/,,"Hôtel situé en Balagne en Corse, au calme, à seulement 2 minutes à pied des plages rocheuses et d'une petite crique de sable, à proximité de la citadelle, à 5 minutes du centre ville de Calvi et de sa zone piétonne.",https://data.datatourisme.fr/13/de40ded2-631c-353b-8e3b-436671789661
La Revellata,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.568,8.7535,Avenue Napoléon Route de Porto par la côte,20260#Calvi,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-03-29,#+33 4 95 65 01 89#hotelrevellata@orange.fr#https://www.hotelrevellata.com/,,"De style contemporain et design, cet hôtel vous offre une vue imprenable sur la mer, la citadelle de Calvi et la presqu'île de laquelle il tire son nom. Nous vous souhaitons un agréable séjour en Balagne et en Corse.",https://data.datatourisme.fr/13/ddd65267-c414-3400-a746-727f46768747
Casa di Luna,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.412766,8.691103,Domaine de Vaitella,20245#Galéria,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-24,#+33 6 77 72 84 19<>+33 6 74 67 73 01#casadiluna@live.fr#https://casadiluna.net/,,"Camping idéalement situé près de Calvi en Balagne, entre mer et montagne, à cheval sur deux torrents dans la vallée du Fango, à 5 km de la mer, 1 km de la rivière, aux portes de Scandola, au pied de plus belles montagnes de Corse.",https://data.datatourisme.fr/13/89161292-5c04-3980-95e0-feb7c1282f6a
Casa Orfea,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.608,8.8637,1 Rue A Marina,20220#Algajola,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-24,#+33 4 95 57 90 08#casa.orfea.algajola@gmail.com#https://www.hotel-algajola-corsica.com/,,"Casa Orfea est un établissement familial situé à Algajola, village de pêcheurs près de Calvi. L’hôtel, au style vintage, offre une atmosphère chaleureuse, entre charme désuet et authenticité. Les mots d’ordre sont simplicité, hospitalité et convivialité.",https://data.datatourisme.fr/13/05edfeed-1f83-3ba6-be26-b8115a9045a2
Le Ponte Vecchiu,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,42.396924,8.713245,Route du Fangu Lieu dit Ponte Vechju,20245#Galéria,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-05-03,#+33 4 95 62 00 66##,,"A Galeria, en Balagne, Alexandra et Stellu vous invitent à déguster une cuisine traditionnelle avec un atout supplémentaire... la viande et la charcuterie corse sont issus de leur exploitation familiale !",https://data.datatourisme.fr/13/2fa0aa04-d072-3da1-80eb-45a4d9ff7437
Domaine de San Sebastiano,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.631859,9.281451,La Trinité Lieu dit Benciugno,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-31,#+33 4 95 70 34 07<>+33 6 09 79 60 98#info@domaine-san-sebastiano.com#http://www.domaine-san-sebastiano.com/,,"Vous êtes à la recherche d’une location propice au ressourcement pour votre prochain séjour à Porto-Vecchio ? Découvrez le Domaine San Sebastiano, une résidence de vacances au cœur de la nature corse.",https://data.datatourisme.fr/13/4f6eb124-bc4b-30e1-b24a-cc4ea1c9c63b
A Licetta,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.592,9.2707,Quartier Baccagio Résidence A Licetta,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-06,#+33 6 11 35 14 15<>+33 6 19 92 19 78#info@alicetta.com#http://www.residence-alicetta-portovecchio.com/,,"Située à l’entrée de Porto-Vecchio, la résidence vous accueille dans un écrin de verdure et vous offre une vue panoramique sur le golfe.
Idéale pour ceux qui recherchent calme, sérénité et convivialité.",https://data.datatourisme.fr/13/50429798-a885-3cd8-95b8-da80880e00b6
Vizzavona Parc Aventure,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.082138,9.060722,Corsica Natura Foce di Vizzavona,20219#Vivario,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-12,#+33 4 95 10 83 16<>+33 4 95 37 28 41<>+33 6 75 94 27 74#info@corsicanatura.fr#http://www.corsicanatura-activites.fr/,,"Situé Entre Ajaccio et Corte, au cœur de la Corse, l’équipe du Parc Aventure Accrobranche de Vizzavona, vous accueille sur ses parcours ombragés, pour le plaisir des petits et des grands (A partir de 3 ans).",https://data.datatourisme.fr/13/27c8c570-a8db-3df1-850f-69d3d87b6866
Perla Rossa,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.636093,8.938393,20220 30 rue Notre Dame,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-16,#+33 4 95 48 45 30#info@hotelperlarossa.com#http://www.hotelperlarossa.com/,,"Cet ancien Palais du XVIIIe siècle avec ses neuf suites à la décoration minimaliste et épurée, se situe en bordure d'une magnifique plage de sable fin, l'hôtel Perla Rossa vous offre un service personnalisé et raffiné, pour un séjour inoubliable.",https://data.datatourisme.fr/13/ec903f8f-161b-3ef3-a0b2-d914bde04526
Villa Joséphine,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.627661,8.934496,Lieu-dit Miratu Polu Rue Bisgambiglia,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 4 95 58 95 80#contact@villajosephine.corsica#https://www.villajosephine.corsica/,,"La Villa Joséphine se situe dans une végétation méditerranéenne apaisante. À proximité du centre ville et des plages, savourez l’intimité et  la tranquillité qu’il offre. Telle une maison de famille, l'hôtel décline le vocabulaire des bâtisses corses.",https://data.datatourisme.fr/13/af995a4c-e616-3992-95a2-6a9b7df536cf
